"状态","源文件","汉化文件","已翻译行数","校对进度/备注"
"","source_mod\Blue Archive\localisation\simp_chinese\BA_School_Idea_l_simp_chinese.yml","localisation\braz_por\simp_chinese\BA_School_Idea_l_braz_por.yml","415",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Species&Goverments&Civics_l_simp_chinese.yml","localisation\english\simp_chinese\BA_Species&Goverments&Civics_l_english.yml","254",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Species&Goverments&Civics_l_simp_chinese.yml","localisation\french\simp_chinese\BA_Species&Goverments&Civics_l_french.yml","254",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Species&Goverments&Civics_l_simp_chinese.yml","localisation\german\simp_chinese\BA_Species&Goverments&Civics_l_german.yml","254",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Species&Goverments&Civics_l_simp_chinese.yml","localisation\spanish\simp_chinese\BA_Species&Goverments&Civics_l_spanish.yml","254",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Species&Goverments&Civics_l_simp_chinese.yml","localisation\japanese\simp_chinese\BA_Species&Goverments&Civics_l_japanese.yml","254",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Species&Goverments&Civics_l_simp_chinese.yml","localisation\korean\simp_chinese\BA_Species&Goverments&Civics_l_korean.yml","254",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Species&Goverments&Civics_l_simp_chinese.yml","localisation\polish\simp_chinese\BA_Species&Goverments&Civics_l_polish.yml","254",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_Species&Goverments&Civics_l_simp_chinese.yml","localisation\braz_por\simp_chinese\BA_Species&Goverments&Civics_l_braz_por.yml","254",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_common_l_simp_chinese.yml","localisation\english\simp_chinese\BA_common_l_english.yml","1839",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_common_l_simp_chinese.yml","localisation\french\simp_chinese\BA_common_l_french.yml","1839",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_common_l_simp_chinese.yml","localisation\german\simp_chinese\BA_common_l_german.yml","1839",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_common_l_simp_chinese.yml","localisation\spanish\simp_chinese\BA_common_l_spanish.yml","1839",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_common_l_simp_chinese.yml","localisation\japanese\simp_chinese\BA_common_l_japanese.yml","1839",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_common_l_simp_chinese.yml","localisation\korean\simp_chinese\BA_common_l_korean.yml","1839",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_common_l_simp_chinese.yml","localisation\polish\simp_chinese\BA_common_l_polish.yml","1839",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_common_l_simp_chinese.yml","localisation\braz_por\simp_chinese\BA_common_l_braz_por.yml","1839",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_component_l_simp_chinese.yml","localisation\english\simp_chinese\BA_component_l_english.yml","101",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_component_l_simp_chinese.yml","localisation\french\simp_chinese\BA_component_l_french.yml","101",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_component_l_simp_chinese.yml","localisation\german\simp_chinese\BA_component_l_german.yml","101",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_component_l_simp_chinese.yml","localisation\spanish\simp_chinese\BA_component_l_spanish.yml","101",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_component_l_simp_chinese.yml","localisation\japanese\simp_chinese\BA_component_l_japanese.yml","101",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_component_l_simp_chinese.yml","localisation\korean\simp_chinese\BA_component_l_korean.yml","101",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_component_l_simp_chinese.yml","localisation\polish\simp_chinese\BA_component_l_polish.yml","101",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_component_l_simp_chinese.yml","localisation\braz_por\simp_chinese\BA_component_l_braz_por.yml","101",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_concepts_l_simp_chinese.yml","localisation\english\simp_chinese\BA_concepts_l_english.yml","25",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_concepts_l_simp_chinese.yml","localisation\french\simp_chinese\BA_concepts_l_french.yml","25",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_concepts_l_simp_chinese.yml","localisation\german\simp_chinese\BA_concepts_l_german.yml","25",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_concepts_l_simp_chinese.yml","localisation\spanish\simp_chinese\BA_concepts_l_spanish.yml","25",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_concepts_l_simp_chinese.yml","localisation\japanese\simp_chinese\BA_concepts_l_japanese.yml","25",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_concepts_l_simp_chinese.yml","localisation\korean\simp_chinese\BA_concepts_l_korean.yml","25",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_concepts_l_simp_chinese.yml","localisation\polish\simp_chinese\BA_concepts_l_polish.yml","25",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_concepts_l_simp_chinese.yml","localisation\braz_por\simp_chinese\BA_concepts_l_braz_por.yml","25",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_Emergencies_l_simp_chinese.yml","localisation\english\simp_chinese\BA_event_Emergencies_l_english.yml","258",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_Emergencies_l_simp_chinese.yml","localisation\french\simp_chinese\BA_event_Emergencies_l_french.yml","258",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_Emergencies_l_simp_chinese.yml","localisation\german\simp_chinese\BA_event_Emergencies_l_german.yml","258",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_Emergencies_l_simp_chinese.yml","localisation\spanish\simp_chinese\BA_event_Emergencies_l_spanish.yml","258",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_Emergencies_l_simp_chinese.yml","localisation\japanese\simp_chinese\BA_event_Emergencies_l_japanese.yml","258",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_Emergencies_l_simp_chinese.yml","localisation\korean\simp_chinese\BA_event_Emergencies_l_korean.yml","258",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_Emergencies_l_simp_chinese.yml","localisation\polish\simp_chinese\BA_event_Emergencies_l_polish.yml","258",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_Emergencies_l_simp_chinese.yml","localisation\braz_por\simp_chinese\BA_event_Emergencies_l_braz_por.yml","258",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_Shittem_l_simp_chinese.yml","localisation\english\simp_chinese\BA_event_Shittem_l_english.yml","351",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_Shittem_l_simp_chinese.yml","localisation\french\simp_chinese\BA_event_Shittem_l_french.yml","351",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_Shittem_l_simp_chinese.yml","localisation\german\simp_chinese\BA_event_Shittem_l_german.yml","351",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_Shittem_l_simp_chinese.yml","localisation\spanish\simp_chinese\BA_event_Shittem_l_spanish.yml","351",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_Shittem_l_simp_chinese.yml","localisation\japanese\simp_chinese\BA_event_Shittem_l_japanese.yml","351",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_Shittem_l_simp_chinese.yml","localisation\korean\simp_chinese\BA_event_Shittem_l_korean.yml","351",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_Shittem_l_simp_chinese.yml","localisation\polish\simp_chinese\BA_event_Shittem_l_polish.yml","351",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_Shittem_l_simp_chinese.yml","localisation\braz_por\simp_chinese\BA_event_Shittem_l_braz_por.yml","351",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_crisis_l_simp_chinese.yml","localisation\english\simp_chinese\BA_event_crisis_l_english.yml","228",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_crisis_l_simp_chinese.yml","localisation\french\simp_chinese\BA_event_crisis_l_french.yml","228",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_crisis_l_simp_chinese.yml","localisation\german\simp_chinese\BA_event_crisis_l_german.yml","228",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_crisis_l_simp_chinese.yml","localisation\spanish\simp_chinese\BA_event_crisis_l_spanish.yml","228",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_crisis_l_simp_chinese.yml","localisation\japanese\simp_chinese\BA_event_crisis_l_japanese.yml","228",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_crisis_l_simp_chinese.yml","localisation\korean\simp_chinese\BA_event_crisis_l_korean.yml","228",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_crisis_l_simp_chinese.yml","localisation\polish\simp_chinese\BA_event_crisis_l_polish.yml","228",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_crisis_l_simp_chinese.yml","localisation\braz_por\simp_chinese\BA_event_crisis_l_braz_por.yml","228",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_origins_l_simp_chinese.yml","localisation\english\simp_chinese\BA_event_origins_l_english.yml","222",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_origins_l_simp_chinese.yml","localisation\french\simp_chinese\BA_event_origins_l_french.yml","222",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_origins_l_simp_chinese.yml","localisation\german\simp_chinese\BA_event_origins_l_german.yml","222",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_origins_l_simp_chinese.yml","localisation\spanish\simp_chinese\BA_event_origins_l_spanish.yml","222",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_origins_l_simp_chinese.yml","localisation\japanese\simp_chinese\BA_event_origins_l_japanese.yml","222",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_origins_l_simp_chinese.yml","localisation\korean\simp_chinese\BA_event_origins_l_korean.yml","222",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_origins_l_simp_chinese.yml","localisation\polish\simp_chinese\BA_event_origins_l_polish.yml","222",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_origins_l_simp_chinese.yml","localisation\braz_por\simp_chinese\BA_event_origins_l_braz_por.yml","222",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_tr&ape_l_simp_chinese.yml","localisation\english\simp_chinese\BA_event_tr&ape_l_english.yml","109",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_tr&ape_l_simp_chinese.yml","localisation\french\simp_chinese\BA_event_tr&ape_l_french.yml","109",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_tr&ape_l_simp_chinese.yml","localisation\german\simp_chinese\BA_event_tr&ape_l_german.yml","109",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_tr&ape_l_simp_chinese.yml","localisation\spanish\simp_chinese\BA_event_tr&ape_l_spanish.yml","109",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_tr&ape_l_simp_chinese.yml","localisation\japanese\simp_chinese\BA_event_tr&ape_l_japanese.yml","109",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_tr&ape_l_simp_chinese.yml","localisation\korean\simp_chinese\BA_event_tr&ape_l_korean.yml","109",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_tr&ape_l_simp_chinese.yml","localisation\polish\simp_chinese\BA_event_tr&ape_l_polish.yml","109",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_event_tr&ape_l_simp_chinese.yml","localisation\braz_por\simp_chinese\BA_event_tr&ape_l_braz_por.yml","109",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_leader_l_simp_chinese.yml","localisation\english\simp_chinese\BA_leader_l_english.yml","1455",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_leader_l_simp_chinese.yml","localisation\french\simp_chinese\BA_leader_l_french.yml","1455",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_leader_l_simp_chinese.yml","localisation\german\simp_chinese\BA_leader_l_german.yml","1455",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_leader_l_simp_chinese.yml","localisation\spanish\simp_chinese\BA_leader_l_spanish.yml","1455",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_leader_l_simp_chinese.yml","localisation\japanese\simp_chinese\BA_leader_l_japanese.yml","1455",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_leader_l_simp_chinese.yml","localisation\korean\simp_chinese\BA_leader_l_korean.yml","1455",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_leader_l_simp_chinese.yml","localisation\polish\simp_chinese\BA_leader_l_polish.yml","1455",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_leader_l_simp_chinese.yml","localisation\braz_por\simp_chinese\BA_leader_l_braz_por.yml","1455",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_modifiers_l_simp_chinese.yml","localisation\english\simp_chinese\BA_modifiers_l_english.yml","143",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_modifiers_l_simp_chinese.yml","localisation\french\simp_chinese\BA_modifiers_l_french.yml","143",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_modifiers_l_simp_chinese.yml","localisation\german\simp_chinese\BA_modifiers_l_german.yml","143",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_modifiers_l_simp_chinese.yml","localisation\spanish\simp_chinese\BA_modifiers_l_spanish.yml","143",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_modifiers_l_simp_chinese.yml","localisation\japanese\simp_chinese\BA_modifiers_l_japanese.yml","143",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_modifiers_l_simp_chinese.yml","localisation\korean\simp_chinese\BA_modifiers_l_korean.yml","143",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_modifiers_l_simp_chinese.yml","localisation\polish\simp_chinese\BA_modifiers_l_polish.yml","143",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_modifiers_l_simp_chinese.yml","localisation\braz_por\simp_chinese\BA_modifiers_l_braz_por.yml","143",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_popmod_l_simp_chinese.yml","localisation\english\simp_chinese\BA_popmod_l_english.yml","175",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_popmod_l_simp_chinese.yml","localisation\french\simp_chinese\BA_popmod_l_french.yml","175",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_popmod_l_simp_chinese.yml","localisation\german\simp_chinese\BA_popmod_l_german.yml","175",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_popmod_l_simp_chinese.yml","localisation\spanish\simp_chinese\BA_popmod_l_spanish.yml","175",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_popmod_l_simp_chinese.yml","localisation\japanese\simp_chinese\BA_popmod_l_japanese.yml","175",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_popmod_l_simp_chinese.yml","localisation\korean\simp_chinese\BA_popmod_l_korean.yml","175",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_popmod_l_simp_chinese.yml","localisation\polish\simp_chinese\BA_popmod_l_polish.yml","175",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_popmod_l_simp_chinese.yml","localisation\braz_por\simp_chinese\BA_popmod_l_braz_por.yml","175",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_resource_tips_l_simp_chinese.yml","localisation\english\simp_chinese\BA_resource_tips_l_english.yml","1",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_resource_tips_l_simp_chinese.yml","localisation\french\simp_chinese\BA_resource_tips_l_french.yml","1",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_resource_tips_l_simp_chinese.yml","localisation\german\simp_chinese\BA_resource_tips_l_german.yml","1",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_resource_tips_l_simp_chinese.yml","localisation\spanish\simp_chinese\BA_resource_tips_l_spanish.yml","1",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_resource_tips_l_simp_chinese.yml","localisation\japanese\simp_chinese\BA_resource_tips_l_japanese.yml","1",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_resource_tips_l_simp_chinese.yml","localisation\korean\simp_chinese\BA_resource_tips_l_korean.yml","1",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_resource_tips_l_simp_chinese.yml","localisation\polish\simp_chinese\BA_resource_tips_l_polish.yml","1",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_resource_tips_l_simp_chinese.yml","localisation\braz_por\simp_chinese\BA_resource_tips_l_braz_por.yml","1",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_speciel_story_l_simp_chinese.yml","localisation\english\simp_chinese\BA_speciel_story_l_english.yml","75",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_speciel_story_l_simp_chinese.yml","localisation\french\simp_chinese\BA_speciel_story_l_french.yml","75",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_speciel_story_l_simp_chinese.yml","localisation\german\simp_chinese\BA_speciel_story_l_german.yml","75",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_speciel_story_l_simp_chinese.yml","localisation\spanish\simp_chinese\BA_speciel_story_l_spanish.yml","75",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_speciel_story_l_simp_chinese.yml","localisation\japanese\simp_chinese\BA_speciel_story_l_japanese.yml","75",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_speciel_story_l_simp_chinese.yml","localisation\korean\simp_chinese\BA_speciel_story_l_korean.yml","75",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_speciel_story_l_simp_chinese.yml","localisation\polish\simp_chinese\BA_speciel_story_l_polish.yml","75",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_speciel_story_l_simp_chinese.yml","localisation\braz_por\simp_chinese\BA_speciel_story_l_braz_por.yml","75",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_test_l_simp_chinese.yml","localisation\english\simp_chinese\BA_test_l_english.yml","14",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_test_l_simp_chinese.yml","localisation\french\simp_chinese\BA_test_l_french.yml","14",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_test_l_simp_chinese.yml","localisation\german\simp_chinese\BA_test_l_german.yml","14",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_test_l_simp_chinese.yml","localisation\spanish\simp_chinese\BA_test_l_spanish.yml","14",""
"","source_mod\Blue Archive\localisation\simp_chinese\BA_test_l_simp_chinese.yml","localisation\japanese\simp_chinese\BA_test_l_japanese.yml","14",""
